mmsi_1,mmsi_2,timestamp,lat_1,lon_1,lat_2,lon_2,sog_1,sog_2,distance_km,interaction_duration_min
525016334,525924924,2024-08-03 02:00:06+00:00,-6.0567,106.95457666666667,-6.056695,106.95482833333334,0.0,0.0,4.237134558695953,0
525003166,525004013,2024-08-03 17:30:36+00:00,-6.095728333333334,106.95722,-6.0957333333333334,106.95699833333333,0.0,0.0,7.602898992894287,0
525500370,525500598,2024-08-04 06:30:19+00:00,-6.094696666666667,106.95677333333333,-6.0950283333333335,106.95652833333334,0.0,0.0,0.045759260299250155,0
525005334,525500370,2024-08-04 09:00:07+00:00,-6.094493333333333,106.95719166666667,-6.094703333333333,106.95679666666666,0.1,0.0,15.992071600919495,0
525005334,525500370,2024-08-04 09:00:07+00:00,-6.094493333333333,106.95719166666667,-6.094703333333333,106.95679666666666,0.1,0.0,15.992071600919495,0
525010182,525500598,2024-08-04 18:00:06+00:00,-6.094516666666666,106.95668333333333,-6.094846666666666,106.95653333333334,0.0,0.0,4.738613933853663,0
525010182,525500598,2024-08-04 18:00:06+00:00,-6.094516666666666,106.95668333333333,-6.094846666666666,106.95653333333334,0.0,0.0,4.738613933853663,0
525010182,525500370,2024-08-04 19:00:09+00:00,-6.0944666666666665,106.95663333333333,-6.094685,106.9568,0.1,0.0,0.030479198658742518,0
525010182,525500370,2024-08-04 19:00:09+00:00,-6.0944666666666665,106.95663333333333,-6.094685,106.9568,0.1,0.0,0.030479198658742518,0
477798500,525021359,2024-08-04 23:00:08+00:00,-6.003938333333333,106.91407,-6.004051666666666,106.91430333333334,0.0,0.1,7.391293913047178,0
477798500,525021359,2024-08-04 23:00:08+00:00,-6.003938333333333,106.91407,-6.004051666666666,106.91430333333334,0.0,0.1,7.391293913047178,0
525006345,525023365,2024-08-05 10:30:05+00:00,-6.106376666666667,106.88375666666667,-6.106045,106.88376333333333,0.0,0.0,3.9543063189039303,0
525010182,525500370,2024-08-05 21:00:18+00:00,-6.094516666666666,106.95668333333333,-6.094675,106.956805,0.1,0.0,0.022156928705971825,0
525010182,525500370,2024-08-05 21:00:18+00:00,-6.094516666666666,106.95668333333333,-6.094675,106.956805,0.1,0.0,0.022156928705971825,0
525500370,525700563,2024-08-06 23:30:19+00:00,-6.094715,106.95678333333333,-6.095011666666666,106.95709166666667,0.0,0.0,0.04743852725808078,0
525500370,525700563,2024-08-07 00:00:18+00:00,-6.094725,106.956775,-6.0950066666666665,106.95712166666667,0.0,0.0,0.0494984949554735,0
525500370,525700563,2024-08-07 00:00:18+00:00,-6.094725,106.956775,-6.0950066666666665,106.95712166666667,0.0,0.0,0.0494984949554735,0
525010182,525500370,2024-08-07 03:30:01+00:00,-6.094366666666667,106.95663333333333,-6.094713333333333,106.956795,0.1,0.0,8.839197386938311,0
525018128,525500030,2024-08-10 16:02:56+00:00,-6.100601666666667,106.9544,-6.100913333333334,106.95418,0.0,0.0,0.04234022481705054,0
525018128,525500030,2024-08-10 16:02:56+00:00,-6.100601666666667,106.9544,-6.100913333333334,106.95418,0.0,0.0,0.04234022481705054,0
525021177,525021339,2024-08-12 02:00:05+00:00,-6.082385,106.93002333333334,-6.082283333333334,106.92996333333333,0.0,0.1,0.09416965143812407,0
525021177,525021339,2024-08-12 02:00:05+00:00,-6.082385,106.93002333333334,-6.082283333333334,106.92996333333333,0.0,0.1,0.09416965143812407,0
525200307,525700563,2024-08-12 03:30:29+00:00,-6.09527,106.95703833333333,-6.095011666666666,106.95709166666667,0.0,0.2,0.029324378443154397,0
525021339,525021359,2024-08-13 00:30:03+00:00,-6.084085,106.928455,-6.08403,106.92854,0.0,0.1,0.01121297006701004,0
525018274,525701629,2024-08-13 05:30:10+00:00,-6.09648,106.95823333333334,-6.096188333333333,106.95853333333334,0.0,0.0,11.446955756616822,0
431546000,525501897,2024-08-13 14:33:36+00:00,-6.098866666666667,106.91663333333334,-6.098768333333333,106.91668166666666,0.0,0.2,0.012170225670778637,0
525500370,525500598,2024-08-13 14:33:42+00:00,-6.094773333333333,106.95685166666667,-6.094875,106.956505,0.1,0.0,0.039962028512431774,0
525018274,525701629,2024-08-14 00:30:11+00:00,-6.096503333333334,106.95827833333334,-6.096203333333333,106.95858,0.0,0.0,8.108166195551721,0
525021134,525899371,2024-08-14 02:01:03+00:00,-6.106716666666666,106.89103666666666,-6.106605,106.89130166666666,0.0,0.0,0.031821908154703,0
525021134,525899371,2024-08-14 02:01:03+00:00,-6.106716666666666,106.89103666666666,-6.106605,106.89130166666666,0.0,0.0,0.031821908154703,0
525020039,525500370,2024-08-14 08:00:03+00:00,-6.094508333333334,106.95718666666667,-6.094695,106.956795,0.0,0.0,0.048022569936035056,0
525020039,525500370,2024-08-14 08:00:03+00:00,-6.094508333333334,106.95718666666667,-6.094695,106.956795,0.0,0.0,0.048022569936035056,0
525701629,525701630,2024-08-14 20:00:06+00:00,-6.0961316666666665,106.95853333333334,-6.096023333333333,106.95854666666666,0.1,0.0,0.012135989726723227,0
525701629,525701630,2024-08-14 20:00:06+00:00,-6.0961316666666665,106.95853333333334,-6.096023333333333,106.95854666666666,0.1,0.0,0.012135989726723227,0
525300431,525401142,2024-08-19 21:00:11+00:00,-6.106015,106.95641,-6.1060783333333335,106.95642833333333,0.0,0.0,0.007328259724534847,0
525300431,525401142,2024-08-19 21:00:11+00:00,-6.106015,106.95641,-6.1060783333333335,106.95642833333333,0.0,0.0,0.007328259724534847,0
525010182,525500370,2024-08-20 10:00:05+00:00,-6.094525,106.95663333333333,-6.094713333333333,106.95677666666667,0.0,0.0,8.481051866838737,0
525010182,525500370,2024-08-20 10:00:05+00:00,-6.094525,106.95663333333333,-6.094713333333333,106.95677666666667,0.0,0.0,8.481051866838737,0
525003166,525003343,2024-08-20 16:00:06+00:00,-6.09577,106.95703,-6.095331666666667,106.95703833333333,0.0,0.0,3.31374728589066,0
525500370,525500598,2024-08-20 16:00:06+00:00,-6.09467,106.9568,-6.094835,106.95642666666667,0.0,0.0,3.31374728589066,0
525003343,525020039,2024-08-20 16:00:06+00:00,-6.095331666666667,106.95703833333333,-6.095268333333333,106.95712333333333,0.0,0.0,3.31374728589066,0
525003166,525003343,2024-08-20 16:00:06+00:00,-6.09577,106.95703,-6.095331666666667,106.95703833333333,0.0,0.0,3.31374728589066,0
525500370,525500598,2024-08-20 16:00:06+00:00,-6.09467,106.9568,-6.094835,106.95642666666667,0.0,0.0,3.31374728589066,0
525003343,525020039,2024-08-20 16:00:06+00:00,-6.095331666666667,106.95703833333333,-6.095268333333333,106.95712333333333,0.0,0.0,3.31374728589066,0
525010182,525500598,2024-08-21 04:30:14+00:00,-6.094518333333333,106.956655,-6.094808333333333,106.95641833333333,0.0,0.0,0.07798813270126757,0
525023080,525899371,2024-08-23 00:00:03+00:00,-6.106556666666667,106.89098333333334,-6.106696666666667,106.89128,0.0,0.0,5.153525286673621,0
525023080,525899371,2024-08-23 00:00:03+00:00,-6.106556666666667,106.89098333333334,-6.106696666666667,106.89128,0.0,0.0,5.153525286673621,0
525023080,525899371,2024-08-23 03:00:03+00:00,-6.10658,106.890935,-6.106646666666666,106.891305,0.0,0.0,8.810488071438336,0
