mmsi_1,mmsi_2,timestamp,lat_1,lon_1,lat_2,lon_2,sog_1,sog_2,distance_km
525016447,525016449,2024-12-01 06:42:59+00:00,-5.967626666666667,106.12688833333333,-5.967406666666666,106.12677666666667,0.0,0.0,0.02740332736671005
525016447,525016449,2024-12-01 06:52:02+00:00,-5.96762,106.12688333333334,-5.967396666666667,106.126765,0.0,0.0,0.02807076335967538
525016447,525016449,2024-12-01 07:00:59+00:00,-5.9676116666666665,106.12687333333334,-5.967395,106.12675,0.0,0.0,0.02768533616197489
525016447,525016449,2024-12-01 07:09:59+00:00,-5.967603333333333,106.12686,-5.96739,106.12673833333334,0.0,0.0,0.027271990612682862
525016447,525016449,2024-12-01 06:42:59+00:00,-5.967626666666667,106.12688833333333,-5.967406666666666,106.12677666666667,0.0,0.0,0.02740332736671005
525016447,525016449,2024-12-01 06:52:02+00:00,-5.96762,106.12688333333334,-5.967396666666667,106.126765,0.0,0.0,0.02807076335967538
525016447,525016449,2024-12-01 07:00:59+00:00,-5.9676116666666665,106.12687333333334,-5.967395,106.12675,0.0,0.0,0.02768533616197489
525016447,525016449,2024-12-01 07:09:59+00:00,-5.967603333333333,106.12686,-5.96739,106.12673833333334,0.0,0.0,0.027271990612682862
525016447,525016449,2024-12-01 07:31:00+00:00,-5.967593333333333,106.12684666666667,-5.9673766666666666,106.12671833333333,0.0,0.0,0.027961904669601186
525016447,525016449,2024-12-01 07:39:59+00:00,-5.9675883333333335,106.12683666666666,-5.967373333333334,106.12670833333334,0.0,0.0,0.027802386235795572
525016447,525016449,2024-12-01 07:52:00+00:00,-5.9676116666666665,106.12684666666667,-5.967395,106.12672666666667,0.0,0.0,0.02750558861904384
525016447,525016449,2024-12-01 08:01:01+00:00,-5.96764,106.12687166666667,-5.967418333333334,106.12675333333334,0.0,0.0,0.027906944381702846
525016447,525016449,2024-12-01 08:13:00+00:00,-5.967733333333333,106.12693166666666,-5.967613333333333,106.12690833333333,0.0,0.0,0.01359062196291206
525016447,525016449,2024-12-01 07:52:00+00:00,-5.9676116666666665,106.12684666666667,-5.967395,106.12672666666667,0.0,0.0,0.02750558861904384
525016447,525016449,2024-12-01 08:01:01+00:00,-5.96764,106.12687166666667,-5.967418333333334,106.12675333333334,0.0,0.0,0.027906944381702846
525016447,525016449,2024-12-01 08:13:00+00:00,-5.967733333333333,106.12693166666666,-5.967613333333333,106.12690833333333,0.0,0.0,0.01359062196291206
525016449,525020209,2024-12-01 09:39:00+00:00,-5.967555,106.12686666666667,-5.967723333333334,106.12698,0.0,0.0,0.022526708716302826
