mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
525001068,525005177,2024-07-06 14:00:00+00:00,2024-10-28 21:00:00+00:00,169,-5.926763466469429,105.97602454635108
525001068,525006222,2024-06-22 04:01:00+00:00,2024-10-18 03:00:00+00:00,93,-5.924061559139786,105.96137465053764
525001068,525019408,2024-06-01 06:00:00+00:00,2024-10-18 03:00:00+00:00,533,-5.929340531582239,105.97348627736086
525001068,525019409,2024-06-02 07:30:00+00:00,2024-10-09 07:00:00+00:00,688,-5.9283994101259685,105.9746533563469
525001068,525019467,2024-06-03 21:00:00+00:00,2024-10-29 00:00:00+00:00,502,-5.928293942563081,105.97414978585657
525001068,525019468,2024-06-04 09:00:00+00:00,2024-09-17 07:30:00+00:00,104,-5.930868605769232,105.97740540064105
525001068,525021421,2024-06-01 00:00:00+00:00,2024-09-20 11:30:00+00:00,162,-5.929820339506173,105.97763353909465
525001068,525022300,2024-06-06 12:00:00+00:00,2024-10-18 02:31:00+00:00,65,-5.929652615384615,105.96796414102565
525001068,525024295,2024-06-11 20:00:00+00:00,2024-10-08 16:30:00+00:00,348,-5.925927840038314,105.97056048371647
525001068,525100633,2024-06-01 00:00:00+00:00,2024-10-11 03:00:00+00:00,564,-5.928089054373523,105.97641303782505
525001068,525100805,2024-06-15 17:00:00+00:00,2024-09-18 01:30:00+00:00,77,-5.9291349134199125,105.97408066017316
525001068,525119018,2024-06-01 20:30:00+00:00,2024-10-27 21:30:00+00:00,222,-5.926652357357357,105.9802718506006
525001068,525200031,2024-06-01 00:00:00+00:00,2024-10-12 02:30:00+00:00,120,-5.929145395833334,105.98034675000001
525001121,525002061,2024-06-23 09:00:00+00:00,2024-10-21 05:30:00+00:00,35,-5.949313690476192,105.97146771428572
525001121,525004089,2024-07-07 11:00:00+00:00,2024-10-04 21:00:00+00:00,52,-5.948112387820512,105.97063475961538
525001121,525006235,2024-06-20 11:32:00+00:00,2024-08-24 13:30:00+00:00,43,-5.945873158914728,105.98522571705426
525001121,525007232,2024-06-03 05:30:00+00:00,2024-10-12 13:30:00+00:00,178,-5.952363309925094,105.98891220037453
525001121,525007397,2024-06-24 07:00:00+00:00,2024-10-03 08:00:00+00:00,53,-5.953425047169811,105.98128688679247
525001121,525011110,2024-06-24 07:00:00+00:00,2024-09-09 17:30:00+00:00,129,-5.959398869509044,105.98098770671834
525001121,525012215,2024-06-03 05:30:00+00:00,2024-07-20 10:30:00+00:00,50,-5.948868733333334,105.98315288333335
525001121,525015381,2024-08-13 07:00:00+00:00,2024-10-07 17:00:00+00:00,97,-5.957049432989691,105.98566673539518
525001121,525015491,2024-06-02 10:30:00+00:00,2024-10-22 03:30:00+00:00,71,-5.944739342723004,105.97748140845069
525001121,525015868,2024-06-01 02:00:00+00:00,2024-09-10 19:30:00+00:00,48,-5.875875503472223,105.85557534722223
525001121,525015932,2024-06-01 09:00:00+00:00,2024-10-06 15:30:00+00:00,92,-5.953499039855074,105.98551879528986
525001121,525022100,2024-06-24 06:30:00+00:00,2024-08-14 12:30:00+00:00,56,-5.945320178571429,105.97757126488098
525001121,525022330,2024-06-02 19:30:00+00:00,2024-10-22 03:30:00+00:00,131,-5.953195229007633,105.98136431933841
525001121,525023144,2024-06-03 05:30:00+00:00,2024-10-21 22:30:00+00:00,35,-5.946259523809523,105.97342909523809
525001121,525024001,2024-06-28 08:00:00+00:00,2024-10-22 00:02:00+00:00,224,-5.951462991071429,105.9868104575893
525001121,525100375,2024-06-02 08:02:00+00:00,2024-10-12 21:43:00+00:00,89,-5.949599765917602,105.96458411985017
525001121,525100493,2024-06-08 00:30:00+00:00,2024-10-21 23:00:00+00:00,124,-5.952377083333334,105.97548723790321
525001121,525100582,2024-06-03 05:30:00+00:00,2024-10-08 08:30:00+00:00,41,-5.953429878048781,105.98968493902439
525001121,525100600,2024-06-03 05:30:00+00:00,2024-10-21 06:30:00+00:00,121,-5.953140433884298,105.98958350550963
525001121,525100695,2024-07-12 02:00:00+00:00,2024-10-21 22:02:00+00:00,206,-5.94289055420712,105.97328222896441
525001121,525200126,2024-06-01 16:30:00+00:00,2024-09-12 19:30:00+00:00,103,-5.902713754045308,105.90300648867313
525001121,525200335,2024-06-03 03:00:00+00:00,2024-09-02 04:30:00+00:00,52,-5.843394823717949,105.81770107371793
525001121,525200374,2024-06-21 03:00:00+00:00,2024-10-13 07:33:00+00:00,66,-5.943795075757575,105.96438338383838
525001121,525400839,2024-06-24 06:30:00+00:00,2024-10-08 08:30:00+00:00,176,-5.955458802083334,105.98254938920454
525001121,625005399,2024-06-03 05:30:00+00:00,2024-10-20 06:00:00+00:00,34,-5.952130171568627,105.99016458333334
525001136,525002061,2024-06-04 22:30:00+00:00,2024-09-23 15:30:00+00:00,41,-5.951502337398374,105.98655189024387
525001136,525002086,2024-06-07 16:00:00+00:00,2024-09-28 06:00:00+00:00,88,-5.95475122159091,105.98670422348484
525001136,525003465,2024-06-04 10:30:00+00:00,2024-10-02 20:30:00+00:00,72,-5.940412083333333,105.96107892361111
525001136,525004089,2024-06-04 09:30:00+00:00,2024-09-29 16:00:00+00:00,72,-5.942300185185186,105.97411251157408
525001136,525006222,2024-06-25 01:00:00+00:00,2024-10-01 04:32:00+00:00,47,-5.927755886524822,105.97739164893618
525001136,525006235,2024-06-02 21:30:00+00:00,2024-08-27 18:30:00+00:00,210,-5.951600452380953,105.9883776547619
525001136,525007232,2024-06-04 09:00:00+00:00,2024-09-30 23:30:00+00:00,308,-5.9478848620129865,105.9904818262987
