mmsi,vessel_type
352003181,General Cargo Ship
525019114,UNKNOWN
477302800,Container Ship
525023127,UNKNOWN
525020393,Chemical/Oil Products Tanker
636020870,Container Ship
371543000,UNKNOWN
477519800,NOT_FOUND
352002972,Container Ship
525301038,UNKNOWN
357131000,Container Ship
525121033,LPG Tanker
525006036,UNKNOWN
525400099,UNKNOWN
525104002,Oil Products Tanker
525100459,Bulk Carrier
525021334,UNKNOWN
525023309,UNKNOWN
477233300,Container Ship
525021375,UNKNOWN
538010155,NOT_FOUND
525601154,Chemical/Oil Products Tanker
525018128,UNKNOWN
525024276,Tug
525701345,UNKNOWN
525900039,UNKNOWN
538006034,Bulk Carrier
525300227,UNKNOWN
352003285,Bulk Carrier
525011099,NOT_FOUND
431824000,Vehicles Carrier
525800370,UNKNOWN
525800043,UNKNOWN
538010534,Bulk Carrier
525401685,UNKNOWN
563036350,UNKNOWN
371475000,Container Ship
353851000,Container Ship
636021281,Bulk Carrier
563013800,LPG Tanker
538006301,Bulk Carrier
574182172,General Cargo Ship
538005118,Chemical/Oil Products Tanker
538010280,Bulk Carrier
525501102,UNKNOWN
431197000,Bulk Carrier
636093301,Bulk Carrier
525400921,UNKNOWN
525501380,NOT_FOUND
305908000,General Cargo Ship
525200029,UNKNOWN
525200930,Chemical Tanker
525201219,UNKNOWN
525012346,UNKNOWN
525500108,Bulk Carrier
525200359,UNKNOWN
525301953,Tug
525300729,UNKNOWN
525003233,UNKNOWN
413125000,Container Ship
636017415,Bulk Carrier
525023320,UNKNOWN
525300577,UNKNOWN
525004118,Tug
477825000,Container Ship
525013026,Container Ship
533130128,Vehicles Carrier
477311500,Container Ship
413367780,Chemical/Oil Products Tanker
525025104,General Cargo Ship
212275000,General Cargo Ship
413264580,Bulk Carrier
440006000,Container Ship
440367000,Vehicles Carrier
215381000,Container Ship
525024005,UNKNOWN
414491000,Oil Products Tanker
525004090,UNKNOWN
311000344,LPG Tanker
370903000,NOT_FOUND
525700458,NOT_FOUND
525501494,UNKNOWN
525900581,NOT_FOUND
525301949,Oil Products Tanker
374207000,Chemical/Oil Products Tanker
5259999,NOT_FOUND
352003451,Bulk Carrier
525019467,Passenger/Ro-Ro Cargo Ship
525700394,UNKNOWN
563034220,UNKNOWN
636019321,Bulk Carrier
563097100,General Cargo Ship
525117001,Cement Carrier
563138900,Chemical/Oil Products Tanker
636022753,Vehicles Carrier
525019647,Offshore Tug/Supply Ship
525601578,UNKNOWN
525201211,UNKNOWN
414048000,Bulk Carrier
525005001,Passenger Ship
533170203,Tug
525021387,Oil Products Tanker
538004535,Chemical/Oil Products Tanker
357876000,Bulk Carrier
525009229,Vehicles Carrier
525701332,General Cargo Ship
525013035,Container Ship
525016211,Chemical/Oil Products Tanker
525011110,Bitumen Tanker
538004103,Bulk Carrier
525016160,General Cargo Ship
525019300,Offshore Tug/Supply Ship
525018198,Chemical/Oil Products Tanker
525121051,Bulk Carrier
372827000,Container Ship
529953000,NOT_FOUND
636093251,Bulk Carrier
525109008,Chemical/Oil Products Tanker
525022251,Tug
636020234,Bulk Carrier
566678000,Bulk Carrier
374890000,Chemical/Oil Products Tanker
525112005,Bulk Carrier
525114048,LPG Tanker
525015485,Chemical/Oil Products Tanker
525300432,UNKNOWN
525900064,UNKNOWN
525020420,Oil Products Tanker
525120010,Chemical Tanker
525500784,Tug
413311110,Chemical/Oil Products Tanker
525003414,Utility Vessel
636019311,Chemical/Oil Products Tanker
311001296,NOT_FOUND
563208000,NOT_FOUND
351243000,Chemical/Oil Products Tanker
538005974,Bulk Carrier
529160000,UNKNOWN
525501227,UNKNOWN
525601949,NOT_FOUND
525019633,Cement Carrier
477961200,Bulk Carrier
636015031,Container Ship
525800260,UNKNOWN
566926000,Bulk Carrier
525003045,UNKNOWN
565485000,Container Ship
477669500,Bulk Carrier
525007406,UNKNOWN
636015952,Container Ship
525401207,Chemical/Oil Products Tanker
525023290,UNKNOWN
374946000,Container Ship
548723000,General Cargo Ship
441783000,General Cargo Ship
525113012,Container Ship
525600580,General Cargo Ship
525023311,UNKNOWN
538008304,General Cargo Ship
525500492,NOT_FOUND
352002881,Vehicles Carrier
525015881,Offshore Tug/Supply Ship
255915567,Livestock Carrier
371016000,Vehicles Carrier
372959000,General Cargo Ship
525601024,Oil Products Tanker
533132007,Oil Products Tanker
525701319,Chemical/Oil Products Tanker
525015479,Container Ship
538010986,Bulk Carrier
525301743,General Cargo Ship
525100486,Cable Layer
525800417,UNKNOWN
525023365,UNKNOWN
525005313,Offshore Support Vessel
525023297,UNKNOWN
525018193,Oil Products Tanker
525800871,Bulk Carrier
357110000,NOT_FOUND
574475000,Chemical/Oil Products Tanker
525300033,UNKNOWN
525101323,Bulk Carrier
525112010,UNKNOWN
525023327,Vegetable Oil Tanker
525201960,NOT_FOUND
563068300,Bulk Carrier
525005305,NOT_FOUND
525401661,Dredger
525018004,Urea Carrier
525400429,UNKNOWN
405000210,Bulk Carrier
322110656,NOT_FOUND
525018003,Urea Carrier
525400142,Container Ship
525015925,General Cargo Ship
525022382,UNKNOWN
310786000,LNG Tanker
563158900,Container Ship
477907700,Bulk Carrier
525019095,Cement Carrier
525501093,LPG Tanker
525016614,General Cargo Ship
525001957,UNKNOWN
525004129,UNKNOWN
525023155,Deck Cargo Ship
525601388,UNKNOWN
525601570,General Cargo Ship
525014065,General Cargo Ship
636020213,Container Ship
538007758,NOT_FOUND
553111031,NOT_FOUND
525112011,UNKNOWN
525100778,Deck Cargo Ship
525100296,UNKNOWN
525201554,Oil Products Tanker
525300261,UNKNOWN
636021857,Container Ship
525001029,UNKNOWN
525600704,UNKNOWN
525021394,Oil Products Tanker
525003648,NOT_FOUND
525900619,LPG Tanker
577615000,Refrigerated Cargo Ship
538008305,Bulk Carrier
525003667,Container Ship
525401080,UNKNOWN
210145000,Chemical/Oil Products Tanker
525200523,Aggregates Carrier
525200422,UNKNOWN
525016306,Oil Products Tanker
525018326,NOT_FOUND
374640000,Bulk Carrier
477798300,Container Ship
525015534,UNKNOWN
565909000,Container Ship
525018171,Container Ship
525601195,UNKNOWN
525003620,Container Ship
525300676,UNKNOWN
525019110,UNKNOWN
457419000,Oil Products Tanker
563162000,Bulk Carrier
525119221,General Cargo Ship
525100192,UNKNOWN
525010018,General Cargo Ship
525301491,Utility Vessel
525009085,UNKNOWN
525400463,UNKNOWN
525018395,Offshore Tug/Supply Ship
357081000,General Cargo Ship
525501697,UNKNOWN
503045340,UNKNOWN
352002367,General Cargo Ship
538010089,Crude Oil Tanker
538009036,Crude Oil Tanker
574253000,General Cargo Ship
354467000,Container Ship
525018106,Bunkering Tanker
567002750,Chemical/Oil Products Tanker
265491000,Vehicles Carrier
525121015,LPG Tanker
372241000,General Cargo Ship
232012585,Bulk Carrier
414771000,Bulk Carrier
525300907,UNKNOWN
370062000,Bulk Carrier
525121031,Chemical/Oil Products Tanker
477696500,Bulk Carrier
525200941,Bulk Carrier
538009062,Wood Chips Carrier
636021237,Bulk Carrier
525201867,UNKNOWN
538008361,Chemical/Oil Products Tanker
525100734,General Cargo Ship
373605000,Bulk Carrier
525401748,Deck Cargo Ship
525601139,UNKNOWN
477207600,Container Ship
538007617,Container Ship
636020139,Bulk Carrier
413214660,Chemical/Oil Products Tanker
441416000,Bulk Carrier
9125125,NOT_FOUND
565743000,Chemical/Oil Products Tanker
352978183,Container Ship
563115200,Bulk Carrier
538010898,Crude Oil Tanker
525120025,UNKNOWN
525700853,UNKNOWN
525501059,UNKNOWN
477282300,Container Ship
413150000,Container Ship
371318000,Vehicles Carrier
525022304,Chemical Tanker
525021038,Landing Craft
311020800,LPG Tanker
525024251,Oil Products Tanker
373057000,Vehicles Carrier
525300475,Oil Products Tanker
256792000,Bulk Carrier
525900630,UNKNOWN
352001121,Bulk Carrier
525011084,UNKNOWN
566977000,Bulk Carrier
525601574,UNKNOWN
525101370,UNKNOWN
525015778,Vehicles Carrier
525024236,Tug
212366000,Bulk Carrier
525400559,Pusher Tug
525006134,Oil Products Tanker
563224700,Container Ship
636022903,Container Ship
636019100,Chemical/Oil Products Tanker
477168500,Chemical/Oil Products Tanker
525003470,UNKNOWN
525021037,Chemical Tanker
440329000,General Cargo Ship
525010076,UNKNOWN
525401806,LPG Tanker
525020225,UNKNOWN
351684000,Bulk Carrier
525501503,UNKNOWN
538005890,Bulk Carrier
538010276,Bulk Carrier
403798001,Crude Oil Tanker
525025100,Container Ship
525701204,UNKNOWN
371206000,General Cargo Ship
356935000,LPG Tanker
525018371,Crew Boat
525023376,UNKNOWN
352793000,Bulk Carrier
525100170,UNKNOWN
525121062,Deck Cargo Ship
525016295,NOT_FOUND
566204000,General Cargo Ship
636022247,Bulk Carrier
413230950,Chemical/Oil Products Tanker
525019407,General Cargo Ship
525020372,Oil Products Tanker
525003323,NOT_FOUND
525006192,Work/Repair Vessel
300000000,Yacht
416038000,Container Ship
477131300,Bulk Carrier
525005002,Passenger Ship
525501172,UNKNOWN
525007183,General Cargo Ship
229397000,Bulk Carrier
352001702,NOT_FOUND
525008044,Crude Oil Tanker
525019305,Tug
636016912,General Cargo Ship
525023240,General Cargo Ship
525016448,UNKNOWN
538007731,Bulk Carrier
538010048,Container Ship
525016451,UNKNOWN
525501120,Tug
525021108,UNKNOWN
525103007,Oil Products Tanker
440655000,Container Ship
477100600,Bulk Carrier
477541100,Container Ship
525100196,General Cargo Ship
636023213,Container Ship
525601830,UNKNOWN
636011023,Vehicles Carrier
477717900,Oil Products Tanker
525108004,Oil Products Tanker
525010345,Oil Products Tanker
525100141,UNKNOWN
9125096,NOT_FOUND
525019620,Tug
355378000,Bulk Carrier
525100148,Bulk Carrier
525010327,Oil Products Tanker
525013044,Bulk Carrier
525006316,UNKNOWN
310510000,LNG Tanker
525020246,UNKNOWN
525012203,UNKNOWN
525100250,Tug
477948400,Bulk Carrier
525022365,UNKNOWN
351392000,Vehicles Carrier
525601831,Aggregates Carrier
525018337,UNKNOWN
525003624,Container Ship
525014143,UNKNOWN
525200466,Vehicles Carrier
525004013,Offshore Tug/Supply Ship
563165200,Container Ship
241438000,Crude Oil Tanker
525023222,UNKNOWN
525005017,Passenger Ship
525008068,LPG Tanker
525301958,Tug
525501964,UNKNOWN
431264000,Bulk Carrier
370434000,Bulk Carrier
636023196,Bulk Carrier
564863000,Chemical/Oil Products Tanker
525009066,UNKNOWN
414585000,Bulk Carrier
525021328,Tug
525013028,Container Ship
525015029,Bitumen Tanker
636021488,Bulk Carrier
525005054,Passenger Ship
636020871,Container Ship
477842300,Crude Oil Tanker
574005850,Chemical/Oil Products Tanker
525500370,NOT_FOUND
525401090,General Cargo Ship
355391000,General Cargo Ship
525100168,Chemical/Oil Products Tanker
356426000,Container Ship
525119021,Oil Products Tanker
525401287,NOT_FOUND
311017100,Chemical/Oil Products Tanker
538009776,General Cargo Ship
525900644,UNKNOWN
525019132,Chemical Tanker
525016681,Vehicles Carrier
525700839,UNKNOWN
563144600,Container Ship
525007276,UNKNOWN
525101739,UNKNOWN
440838000,Container Ship
538010849,Bulk Carrier
525300755,UNKNOWN
256727000,Crude Oil Tanker
525025082,Container Ship
525401676,LNG Tanker
636023157,Container Ship
636021688,Chemical/Oil Products Tanker
419001904,Bulk Carrier
232011743,Bulk Carrier
215175000,Container Ship
525009173,Tug
563199600,Container Ship
357900000,Vehicles Carrier
525022136,UNKNOWN
525119145,LPG Tanker
246767000,General Cargo Ship
525007034,LPG Tanker
533132346,UNKNOWN
525301156,Container Ship
525003618,UNKNOWN
525006043,UNKNOWN
525300356,UNKNOWN
431123000,Bulk Carrier
525200516,General Cargo Ship
548713000,General Cargo Ship
525023123,UNKNOWN
525001102,Passenger/General Cargo Ship
312468000,General Cargo Ship
245389000,LPG Tanker
255915561,Livestock Carrier
431226000,Bulk Carrier
305240000,General Cargo Ship
416044000,Bulk Carrier
525700899,General Cargo Ship
525700882,UNKNOWN
352165000,General Cargo Ship
352003804,Bulk Carrier
525006094,Tug
525119048,Chemical/Oil Products Tanker
538006131,Chemical/Oil Products Tanker
636017129,NOT_FOUND
525401873,UNKNOWN
525021054,Chemical/Oil Products Tanker
525023194,UNKNOWN
477110600,NOT_FOUND
566199000,NOT_FOUND
525005397,Container Ship
636014221,Container Ship
305097000,General Cargo Ship
477192200,Bulk Carrier
525100527,Chemical Tanker
567572000,Chemical/Oil Products Tanker
636016510,Bulk Carrier
525119160,UNKNOWN
356292000,LPG Tanker
525900238,UNKNOWN
525600301,UNKNOWN
373797000,NOT_FOUND
351443000,Bulk Carrier
525501609,General Cargo Ship
525400093,UNKNOWN
525200515,General Cargo Ship
525125024,NOT_FOUND
525119219,Chemical/Oil Products Tanker
241680000,Bulk Carrier
351628000,Vehicles Carrier
525300136,UNKNOWN
241832000,LNG Tanker
525100128,UNKNOWN
563206800,Chemical/Oil Products Tanker
525501954,Tug
525125034,General Cargo Ship
563124900,Bulk Carrier
525500903,UNKNOWN
525601638,General Cargo Ship
355558000,Vehicles Carrier
525601658,UNKNOWN
525023133,Bulk Carrier
503133430,UNKNOWN
525121009,Chemical/Oil Products Tanker
525015921,Container Ship
525101748,General Cargo Ship
525119069,Chemical/Oil Products Tanker
352003254,Container Ship
636015667,Container Ship
525400839,Passenger/Ro-Ro Cargo Ship
563097800,Bulk Carrier
256311000,Container Ship
525019416,General Cargo Ship
525015259,General Cargo Ship
525114078,UNKNOWN
403711810,Bulk Carrier
525800206,Crude Oil Tanker
477271800,Bulk Carrier
477765900,Container Ship
525200063,NOT_FOUND
636015722,Chemical/Oil Products Tanker
525700498,UNKNOWN
413376440,Chemical/Oil Products Tanker
525500781,UNKNOWN
413330000,Bulk Carrier
538005761,Chemical/Oil Products Tanker
538009689,Bulk Carrier
259932000,Bulk Carrier
538009386,Bulk Carrier
525019393,NOT_FOUND
353848000,Container Ship
525119176,Crude Oil Tanker
525005098,Tug
351647000,Bulk Carrier
636012905,Container Ship
352003343,Chemical/Oil Products Tanker
525119077,Crude Oil Tanker
636014943,Crude Oil Tanker
525119082,Chemical/Oil Products Tanker
414842000,Container Ship
525003052,Offshore Tug/Supply Ship
563166200,LPG Tanker
636019439,Bulk Carrier
525020418,Bulk Carrier
525300213,UNKNOWN
525114112,Hospital Vessel
525018002,UNKNOWN
636021208,LPG Tanker
636013530,Container Ship
525121024,LPG Tanker
525020336,UNKNOWN
600012983,UNKNOWN
525400697,UNKNOWN
525002110,UNKNOWN
525022132,Aggregates Carrier
533132011,UNKNOWN
256300000,Container Ship
355341000,Container Ship
525111010,Oil Products Tanker
440247000,Chemical/Oil Products Tanker
525301573,UNKNOWN
525601781,Tug
440330000,Container Ship
525013037,Bulk Carrier
563656000,Bulk Carrier
636020750,Bulk Carrier
352212000,Bulk Carrier
352002879,General Cargo Ship
525016584,Container Ship
525300271,UNKNOWN
525601254,UNKNOWN
371010000,Chemical Tanker
525101552,UNKNOWN
525016214,UNKNOWN
525400173,UNKNOWN
525016453,UNKNOWN
525700431,UNKNOWN
525701109,Tug
525007223,UNKNOWN
525401442,Bunkering Tanker
525120007,Bulk Carrier
525010280,General Cargo Ship
352002343,General Cargo Ship
525601081,Tug
477117300,Bulk Carrier
419001853,Chemical/Oil Products Tanker
525005339,Container Ship
372972000,Container Ship
525501866,Tug
413540250,Chemical/Oil Products Tanker
372903000,General Cargo Ship
525401570,UNKNOWN
525006404,Bulk Carrier
525015706,Container Ship
525020428,UNKNOWN
525101498,UNKNOWN
416032000,Container Ship
525600916,UNKNOWN
525010406,UNKNOWN
525800079,UNKNOWN
311000614,NOT_FOUND
525700193,UNKNOWN
525024334,UNKNOWN
235101105,Bulk Carrier
525003224,General Cargo Ship
525020201,UNKNOWN
538003857,Chemical/Oil Products Tanker
431777000,Vehicles Carrier
563205400,NOT_FOUND
525200775,Tug
563230200,Bulk Carrier
525700985,NOT_FOUND
525005025,UNKNOWN
525113002,Container Ship
374028000,NOT_FOUND
525003619,Tug
257818000,Bulk Carrier
574972000,Bulk Carrier
245347000,General Cargo Ship
525400599,UNKNOWN
563078400,Container Ship
